Ward,Neighbourhood Number,Neighbourhood Name,"No Certificate, Diploma or Degree",High School Diploma or Equivalent,Trades Certificate,Registered Apprenticeship Certificate,College Certificate or Diploma,University Certificate Below Bachelor's Level,Bachelor's Degree,University Certificate or Diploma above Bachelor Level,Medical Degree,Master's Degree,Earned Doctorate,No Response
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3030,BATURYN,113,564,124,14,300,44,166,35,3,23,5,"1,976"
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1140,MCCAULEY,233,470,61,10,188,39,164,21,6,55,11,"1,815"
WARD 11,6480,MICHAELS PARK,77,300,65,5,206,28,152,25,4,42,2,118
WARD 8,5200,GARNEAU,48,812,79,14,232,126,"1,300",97,107,606,332,"3,508"
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2040,BEACON HEIGHTS,372,754,123,6,316,55,114,29,4,26,6,305
WARD 1,4580,WEST JASPER PLACE,120,549,50,12,216,36,113,7,2,27,4,"1,013"
WARD 9,5465,HAYS RIDGE AREA,5,20,2,0,15,3,16,2,7,13,1,3
WARD 9,5457,CALLAGHAN,40,247,61,11,182,50,264,51,17,84,21,787
WARD 12,6140,CRAWFORD PLAINS,197,958,191,32,541,151,233,20,5,67,6,192
WARD 4,2270,EVERGREEN,78,132,36,3,62,9,7,2,0,4,0,644
WARD 8,6350,KENILWORTH,49,529,162,12,244,57,205,38,5,46,5,833
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6040,BONNIE DOON,144,619,122,24,355,82,519,66,30,174,64,833
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3120,CHAMBERY,15,125,34,4,113,16,83,11,0,14,1,"1,772"
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2320,HAIRSINE,116,474,98,11,256,50,88,11,2,13,1,637
WARD 5,4390,PATRICIA HEIGHTS,37,275,66,3,150,54,189,52,11,55,15,70
WARD 4,2611,CY BECKER,4,21,12,4,25,6,55,2,2,6,3,245
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4485,LEWIS FARMS INDUSTRIAL,1,25,2,0,5,1,1,1,0,0,0,11
WARD 11,6670,SAKAW,225,"1,005",145,43,510,166,186,48,14,47,6,496
WARD 4,2720,YORK,295,805,197,17,375,49,245,19,4,42,3,982
WARD 7,2060,BELLEVUE,27,132,28,10,123,21,82,15,1,46,12,44
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6070,CLOVERDALE,6,73,13,0,67,15,132,28,13,58,14,213
WARD 3,3280,LORELEI,236,849,173,22,407,98,181,53,17,36,6,625
WARD 12,6441,MAPLE,20,64,15,6,58,2,99,6,2,34,2,315
WARD 5,4380,ORMSBY PLACE,134,712,129,23,468,106,464,82,14,110,22,"1,169"
WARD 9,5469,PAISLEY,2,51,16,1,48,5,67,4,3,14,2,28
WARD 11,6020,AVONMORE,63,290,88,12,165,44,228,21,5,60,17,350
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,224
WARD 12,6443,TAMARACK,82,450,76,12,330,72,348,26,3,97,8,"2,148"
WARD 4,2500,MATT BERRY,192,693,120,13,376,98,341,31,12,47,5,"1,145"
WARD 8,5040,BELGRAVIA,19,253,28,7,108,33,410,88,89,200,136,443
WARD 6,3310,NORTH GLENORA,38,214,44,8,161,51,252,50,7,87,12,514
WARD 11,6460,MEYOKUMIN,146,514,99,7,322,58,207,19,3,41,10,84
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5060,BLUE QUILL,85,550,75,8,399,71,600,44,22,191,57,368
WARD 4,2120,CANON RIDGE,108,424,75,12,397,26,207,20,5,21,1,84
WARD 2,3390,ROSSLYN,338,789,180,15,227,56,70,34,8,18,4,489
WARD 5,4220,JAMIESON PLACE,78,412,86,17,308,62,317,42,18,66,13,298
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5590,BLACKBURNE,45,230,31,6,179,18,202,21,8,57,9,310
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4160,GARIEPY,15,138,14,8,108,40,101,89,21,99,44,609
WARD 4,2280,FRASER,115,564,150,27,287,47,180,24,4,38,4,"1,224"
WARD 7,2400,KILDARE,143,458,71,4,192,63,73,34,5,18,1,812
WARD 11,6200,EKOTA,108,391,87,9,264,41,139,18,3,42,3,239
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5458,ALLARD,24,230,65,6,246,37,322,88,6,107,27,217
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4730,SUDER GREENS,83,548,119,17,376,62,359,74,9,77,10,263
WARD 10,5270,LENDRUM PLACE,26,146,21,2,115,30,206,38,7,97,41,355
WARD 5,4461,THE HAMPTONS,182,"1,456",295,91,"1,274",170,"1,419",162,48,262,41,"1,604"
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,0,0,0,100
WARD 4,2311,GORMAN,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3480,HUDSON,88,422,90,7,212,54,205,24,5,35,4,325
WARD 1,4487,SECORD,30,695,85,10,291,70,283,46,11,65,6,588
WARD 1,4290,MAYFIELD,103,321,59,3,140,21,85,5,0,6,0,576
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4140,ELMWOOD,250,"1,284",47,9,113,39,64,16,7,24,4,139
WARD 7,1070,CROMDALE,106,239,48,3,145,88,78,29,6,46,11,315
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5250,KEHEEWIN,57,289,60,9,196,38,227,32,6,72,24,254
WARD 6,1180,QUEEN MARY PARK,293,"1,119",119,21,590,91,523,46,16,151,18,"1,227"
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,21,86,40,12,100,22,157,24,2,39,2,"1,138"
WARD 11,6340,KAMEYOSEK,124,414,112,6,249,73,144,21,13,40,4,262
WARD 3,3180,DUNLUCE,225,869,216,17,538,102,300,31,3,41,7,"2,008"
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2511,MAYLIEWAN,135,523,130,7,286,117,142,50,8,30,8,"1,272"
WARD 2,3250,KENSINGTON,214,485,106,12,241,29,132,16,0,26,2,"1,060"
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0,0,0,0,0,64
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2710,SIFTON PARK,49,113,26,6,72,25,29,11,2,10,1,482
WARD 4,2080,BELVEDERE,272,656,145,23,351,40,180,20,0,42,2,"1,696"
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
